CountryName,ContinentName,ContinentCode,CountryCode,CurrentCost,InternetPercentage,GDPcapita,Pop,Category,Category2,Category3
Algeria,Africa,AF,DZA,25.93,0.595797,4114.715061,42200000,Unaffordable and needed,Cheaper than satellite,Unaffordable and/or not needed
Angola,Africa,AF,AGO,59.04,0.143391,3289.646664,30800000,Unaffordable and needed,Cheaper than satellite,Unaffordable and/or not needed
Benin,Africa,AF,BEN,59.34,0.2,1240.829464,11500000,Unaffordable and needed,Cheaper than satellite,Unaffordable and/or not needed
Botswana,Africa,AF,BWA,112.38,0.47,8279.601365,2250000,Affordable and needed,More expensive than satellite,Affordable and needed
Burundi,Africa,AF,BDI,283.73,0.0266075,271.7520444,11200000,Unaffordable and needed,More expensive than satellite,Unaffordable and/or not needed
Cameroon,Africa,AF,CMR,60.47,0.23203,1534.491274,25200000,Unaffordable and needed,More expensive than satellite,Unaffordable and/or not needed
Comoros,Africa,AF,COM,98.23,0.0847817,1415.955313,832000,Unaffordable and needed,More expensive than satellite,Unaffordable and/or not needed
Cote d'Ivoire,Africa,AF,CIV,66.12,0.468237,2302.612951,25100000,Unaffordable and needed,More expensive than satellite,Unaffordable and/or not needed
Djibouti,Africa,AF,DJI,95.07,0.556814,3141.889219,959000,Unaffordable and needed,More expensive than satellite,Unaffordable and/or not needed
Egypt Arab Rep.,Africa,AF,EGY,13.82,0.469243,2549.132252,98400000,Unaffordable and needed,Cheaper than satellite,Unaffordable and/or not needed
Equatorial Guinea,Africa,AF,GNQ,259.38,0.2624,10144.19581,1310000,Affordable and needed,More expensive than satellite,Affordable and needed
Eswatini,Africa,AF,SWZ,21.73,0.47,4145.97411,1140000,Unaffordable and needed,Cheaper than satellite,Unaffordable and/or not needed
Ethiopia,Africa,AF,ETH,71.15,0.186181,771.5238139,109000000,Unaffordable and needed,More expensive than satellite,Unaffordable and/or not needed
Gabon,Africa,AF,GAB,77.91,0.62,7956.627816,2120000,Affordable and needed,More expensive than satellite,Affordable and needed
Ghana,Africa,AF,GHA,69.54,0.39,2202.312164,29800000,Unaffordable and needed,More expensive than satellite,Unaffordable and/or not needed
Kenya,Africa,AF,KEN,56.11,0.178271,1707.986805,51400000,Unaffordable and needed,Cheaper than satellite,Unaffordable and/or not needed
Lesotho,Africa,AF,LSO,94.04,0.29,1221.883763,2110000,Unaffordable and needed,More expensive than satellite,Unaffordable and/or not needed
Libya,Africa,AF,LBY,51.97,0.217589,7877.122251,6680000,Affordable and needed,Cheaper than satellite,Affordable and needed
Madagascar,Africa,AF,MDG,67.21,0.098,527.5013261,26300000,Unaffordable and needed,More expensive than satellite,Unaffordable and/or not needed
Mali,Africa,AF,MLI,59.34,0.13,900.1101645,19100000,Unaffordable and needed,Cheaper than satellite,Unaffordable and/or not needed
Mauritania,Africa,AF,MRT,694.63,0.20801,1600.876469,4400000,Unaffordable and needed,More expensive than satellite,Unaffordable and/or not needed
Mauritius,Africa,AF,MUS,50.3,0.585962,11208.22737,1270000,Affordable and needed,Cheaper than satellite,Affordable and needed
Morocco,Africa,AF,MAR,33.81,0.648039,3222.200634,36000000,Unaffordable and needed,Cheaper than satellite,Unaffordable and/or not needed
Mozambique,Africa,AF,MOZ,175.25,0.1,498.9572202,29500000,Unaffordable and needed,More expensive than satellite,Unaffordable and/or not needed
Namibia,Africa,AF,NAM,133.38,0.51,5495.428836,2450000,Unaffordable and needed,More expensive than satellite,Unaffordable and/or not needed
Niger,Africa,AF,NER,55.07,0.0525049,571.5269922,22400000,Unaffordable and needed,Cheaper than satellite,Unaffordable and/or not needed
Nigeria,Africa,AF,NGA,78.21,0.42,2032.729709,196000000,Unaffordable and needed,More expensive than satellite,Unaffordable and/or not needed
Senegal,Africa,AF,SEN,38.82,0.46,1465.591006,15900000,Unaffordable and needed,Cheaper than satellite,Unaffordable and/or not needed
