CountryName,CountryCode,GDP,internet,cost_percent,no_internet,type,type_n
Burundi,BDI,2.93E+02,2.66,327.65,97.34,Unaffordable needed,0
Guinea-Bissau,GNB,7.37E+02,3.93,130.31,96.07,Unaffordable needed,0
Central African Republic,CAF,4.51E+02,4.34,212.91,95.66,Unaffordable needed,0
Chad,TCD,6.66E+02,6.50,144.15,93.50,Unaffordable needed,0
Liberia,LBR,6.99E+02,7.98,137.40,92.02,Unaffordable needed,0
Comoros,COM,1.32E+03,8.48,72.52,91.52,Unaffordable needed,0
Congo Dem. Rep.,COD,4.67E+02,8.62,205.54,91.38,Unaffordable needed,0
Congo Rep.,COG,1.77E+03,8.65,54.30,91.35,Unaffordable needed,0
Sierra Leone,SLE,4.99E+02,9.00,192.24,91.00,Unaffordable needed,0
Madagascar,MDG,5.15E+02,9.80,186.30,90.20,Unaffordable needed,0
Mozambique,MOZ,4.61E+02,10.00,208.05,90.00,Unaffordable needed,0
Niger,NER,5.17E+02,10.22,185.73,89.78,Unaffordable needed,0
Papua New Guinea,PNG,2.70E+03,11.21,35.62,88.79,Unaffordable needed,0
Solomon Islands,SLB,2.06E+03,11.92,46.62,88.08,Unaffordable needed,0
Haiti,HTI,7.66E+02,12.33,125.37,87.67,Unaffordable needed,0
Togo,TGO,6.26E+02,12.36,153.33,87.64,Unaffordable needed,0
Mali,MLI,8.31E+02,13.00,115.58,87.00,Unaffordable needed,0
Afghanistan,AFG,5.56E+02,13.50,172.57,86.50,Unaffordable needed,0
Malawi,MWI,3.57E+02,13.78,269.12,86.22,Unaffordable needed,0
Angola,AGO,4.10E+03,14.34,23.44,85.66,Unaffordable needed,0
Kiribati,KIR,1.64E+03,14.58,58.52,85.42,Unaffordable needed,0
Bangladesh,BGD,1.56E+03,15.00,61.38,85.00,Unaffordable needed,0
Pakistan,PAK,1.46E+03,15.51,65.53,84.49,Unaffordable needed,0
Low income,LIC,7.80E+02,15.78,123.14,84.22,Unaffordable needed,0
Burkina Faso,BFA,7.38E+02,16.00,130.03,84.00,Unaffordable needed,0
Kenya,KEN,1.57E+03,17.83,61.06,82.17,Unaffordable needed,0
Guinea,GIN,8.57E+02,18.00,112.07,82.00,Unaffordable needed,0
Least developed countries: UN classification,LDC,1.04E+03,18.25,92.20,81.75,Unaffordable needed,0
Ethiopia,ETH,7.69E+02,18.62,124.92,81.38,Unaffordable needed,0
Heavily indebted poor countries (HIPC),HPC,9.29E+02,19.35,103.29,80.65,Unaffordable needed,0
Gambia The,GMB,6.77E+02,19.84,141.87,80.16,Unaffordable needed,0
Benin,BEN,1.14E+03,20.00,84.46,80.00,Unaffordable needed,0
IDA only,IDX,1.11E+03,20.25,86.46,79.75,Unaffordable needed,0
Mauritania,MRT,1.58E+03,20.80,60.83,79.20,Unaffordable needed,0
Turkmenistan,TKM,6.59E+03,21.25,14.57,78.75,Unaffordable needed,0
Libya,LBY,5.76E+03,21.76,16.68,78.24,Unaffordable needed,0
Rwanda,RWA,7.72E+02,21.77,124.30,78.23,Unaffordable needed,0
Tajikistan,TJK,8.06E+02,21.96,119.10,78.04,Unaffordable needed,0
St. Vincent and the Grenadines,VCT,7.21E+03,22.00,13.31,78.00,Unaffordable needed,0
IDA total,IDA,1.31E+03,22.86,73.13,77.14,Unaffordable needed,0
Cameroon,CMR,1.43E+03,23.20,67.36,76.80,Unaffordable needed,0
Mongolia,MNG,3.67E+03,23.71,26.16,76.29,Unaffordable needed,0
Uganda,UGA,7.47E+02,23.71,128.48,76.29,Unaffordable needed,0
Pre-demographic dividend,PRE,1.41E+03,24.06,67.85,75.94,Unaffordable needed,0
